1,2,3,4,5,6,7,8,9,10,Prg,Total1,Total2,Year,Month,Pass/Fail
2,1,2,1,0,1,0,0,0,0,L,7,0,2022,3,U
3,1,3,2,2,2,0,0,0,0,K,13,0,2022,3,P
1,1,3,3,3,2,0,0,0,0,W,13,0,2022,3,P
2,2,3,1,3,2,0,0,0,0,W,13,0,2022,3,P
3,2,1,3,3,3,2,0,0,0,W,15,2,2022,3,P
1,0,1,0,1,0,0,0,0,0,I,3,0,2022,3,U
2,2,1,0,3,0,0,0,0,0,K,8,0,2022,3,U
3,1,3,0,3,1,0,0,0,0,K,11,0,2022,3,P
3,1,3,3,3,2,0,0,0,0,L,15,0,2022,3,P
0,1,0,0,0,0,0,0,0,0,V,1,0,2022,3,U
2,1,2,2,3,2,0,0,0,0,V,12,0,2022,3,P
1,1,0,0,0,2,0,0,0,0,L,4,0,2022,3,U
2,1,3,0,3,1,0,0,0,0,K,10,0,2022,3,P
1,0,0,0,2,0,0,0,0,0,N,3,0,2022,3,U
1,2,1,2,3,0,0,0,0,0,W,9,0,2022,3,P
3,2,3,3,0,3,0,0,0,0,B,14,0,2022,3,P
2,1,2,0,2,2,0,0,0,0,V,9,0,2022,3,P
3,2,1,3,3,2,2,1,0,0,B,14,3,2022,3,P
3,2,3,3,3,2,0,0,1,0,W,16,1,2022,3,P
2,2,1,2,3,1,0,0,0,0,V,11,0,2022,3,P
3,3,3,3,3,2,3,1,1,0,Bi,17,5,2022,3,P
0,0,2,0,0,0,0,0,0,0,W,2,0,2022,3,U
2,1,3,3,2,1,1,0,0,0,V,12,1,2022,3,P
2,0,3,0,3,1,0,0,0,0,W,9,0,2022,3,U
3,2,2,1,0,0,0,0,0,0,Bi,8,0,2022,3,U
1,1,1,1,2,1,0,0,0,0,D,7,0,2022,3,U
2,1,2,0,3,1,0,0,0,0,B,9,0,2022,3,P
1,1,3,2,3,1,0,0,0,0,Bi,11,0,2022,3,P
2,1,0,2,3,0,0,0,0,0,L,8,0,2022,3,U
0,0,0,0,0,0,0,0,0,0,V,0,0,2022,3,U
2,3,3,3,3,2,0,0,0,0,Bi,16,0,2022,3,P
3,1,3,3,3,0,0,0,0,0,K,13,0,2022,3,P
2,2,1,2,0,2,0,0,0,0,V,9,0,2022,3,P
2,1,2,2,2,0,0,0,0,0,K,9,0,2022,3,P
3,2,1,3,3,3,0,0,0,0,B,15,0,2022,3,P
2,0,1,2,0,2,0,0,0,0,W,7,0,2022,3,U
1,1,3,0,3,1,0,0,0,0,B,9,0,2022,3,P
1,1,1,1,2,1,0,0,0,0,C,7,0,2022,3,U
3,2,3,3,3,0,0,0,0,0,B,14,0,2022,3,P
1,1,0,0,0,0,0,0,0,0,L,2,0,2022,3,U
2,2,2,1,3,0,0,0,0,0,N,10,0,2022,3,P
2,3,3,3,2,1,0,2,0,0,N,14,2,2022,3,P
1,2,3,3,3,3,3,3,1,0,F,15,7,2022,3,P
0,0,1,0,0,0,0,0,0,0,L,1,0,2022,3,U
0,0,1,0,0,0,0,0,0,0,V,1,0,2022,3,U
